	A1	A13	A11	A7	A16	A14	A12	A9	A8	A6	A5	A4	A15	A10	A3	A2
A1	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0
A13	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0
A11	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0
A7	85	85	85	85	0	0	0	0	0	0	0	0	0	0	0	0
A16	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A14	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A12	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A9	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A8	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A6	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A5	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A4	0	0	0	0	45	45	45	45	45	45	45	45	0	0	0	0
A15	0	0	0	0	0	0	0	0	0	0	0	0	85	85	85	85
A10	0	0	0	0	0	0	0	0	0	0	0	0	85	85	85	85
A3	0	0	0	0	0	0	0	0	0	0	0	0	85	85	85	85
A2	0	0	0	0	0	0	0	0	0	0	0	0	85	85	85	85
